,Review_year,Cocoa_percent,Rating,Clusters
210,2008,70.0,2.75,pink
211,2008,70.0,3.0,pink
212,2014,70.0,2.75,pink
213,2013,82.0,3.5,dark purple
214,2009,72.0,2.75,pink
215,2016,82.0,3.5,dark purple
216,2016,75.0,2.75,pink
217,2016,75.0,3.5,purple
218,2016,75.0,3.0,pink
219,2012,70.0,3.5,purple
220,2012,70.0,3.75,purple
221,2016,75.0,3.5,purple
222,2014,75.0,4.0,purple
223,2014,75.0,3.25,purple
224,2014,65.0,3.75,purple
225,2013,75.0,3.5,purple
226,2013,75.0,3.25,purple
227,2011,75.0,3.5,purple
228,2011,75.0,3.5,purple
229,2011,75.0,3.5,purple
230,2011,75.0,3.75,purple
231,2011,75.0,4.0,purple
232,2011,75.0,4.0,purple
233,2011,75.0,3.5,purple
234,2011,75.0,3.25,purple
235,2009,75.0,3.0,pink
236,2009,75.0,2.75,pink
237,2009,75.0,3.0,pink
238,2009,75.0,3.0,pink
239,2008,75.0,4.0,purple
240,2007,75.0,2.5,pink
241,2006,75.0,3.75,purple
242,2006,75.0,4.0,purple
243,2006,75.0,4.0,purple
244,2006,75.0,4.0,purple
245,2006,100.0,1.5,dark purple
246,2006,75.0,3.0,pink
247,2006,75.0,4.0,purple
248,2009,77.0,3.25,purple
249,2009,100.0,1.5,dark purple
250,2014,70.0,2.75,pink
251,2014,70.0,2.75,pink
252,2016,70.0,3.5,purple
253,2016,70.0,3.75,purple
254,2015,68.0,3.75,purple
255,2014,70.0,3.75,purple
256,2014,70.0,4.0,purple
257,2013,72.0,3.0,pink
258,2013,70.0,3.25,purple
259,2013,75.0,3.5,purple
260,2013,85.0,3.5,dark purple
261,2015,60.0,3.0,pink
262,2015,80.0,3.25,dark purple
263,2015,70.0,3.5,purple
264,2015,80.0,2.75,dark purple
265,2015,80.0,3.25,dark purple
266,2015,60.0,3.25,purple
267,2013,70.0,3.0,pink
268,2014,72.0,3.0,pink
269,2014,70.0,3.5,purple
270,2014,72.0,3.5,purple
271,2014,68.0,2.75,pink
272,2015,70.0,3.25,purple
273,2013,68.0,2.75,pink
274,2014,72.0,3.25,purple
275,2014,72.0,3.5,purple
276,2014,72.0,3.25,purple
277,2014,72.0,3.25,purple
278,2014,60.0,2.5,pink
279,2015,70.0,2.5,pink
280,2014,75.0,2.5,pink
281,2010,75.0,2.5,pink
282,2010,75.0,2.75,pink
283,2010,75.0,2.25,pink
284,2016,65.0,3.5,purple
285,2010,70.0,3.0,pink
286,2008,75.0,2.0,pink
287,2007,72.0,2.0,pink
288,2007,66.0,3.0,pink
289,2015,77.0,3.5,purple
290,2015,75.0,3.25,purple
291,2014,75.0,2.5,pink
292,2014,74.0,3.25,purple
293,2014,75.0,3.5,purple
294,2014,70.0,3.75,purple
295,2015,74.0,3.25,purple
296,2016,71.0,3.75,purple
297,2016,74.0,3.75,purple
298,2015,72.0,3.75,purple
299,2014,64.0,3.5,purple
300,2014,70.0,3.5,purple
301,2014,69.0,2.75,pink
302,2014,70.0,3.25,purple
303,2016,70.0,3.5,purple
304,2012,72.0,3.75,purple
305,2011,72.0,3.0,pink
306,2011,66.0,3.75,purple
307,2011,65.0,3.25,purple
308,2016,70.0,3.5,purple
309,2010,71.0,3.5,purple
310,2010,71.0,3.75,purple
311,2010,71.0,4.0,purple
312,2010,71.0,3.25,purple
313,2010,71.0,3.5,purple
314,2010,77.0,3.5,purple
315,2009,70.0,4.0,purple
316,2009,70.0,4.0,purple
317,2015,70.0,3.0,pink
318,2015,70.0,3.25,purple
319,2015,70.0,3.5,purple
320,2013,70.0,3.25,purple
321,2008,63.0,3.5,purple
322,2008,71.0,3.5,purple
323,2008,82.0,2.5,dark purple
324,2008,91.0,1.5,dark purple
325,2008,60.0,2.75,pink
326,2007,70.0,1.0,pink
327,2014,75.0,2.5,pink
328,2014,72.0,3.0,pink
329,2014,70.0,3.5,purple
330,2013,100.0,3.5,dark purple
331,2012,80.0,3.0,dark purple
332,2011,78.0,2.25,pink
333,2011,70.0,2.5,pink
334,2016,75.0,2.5,pink
335,2016,73.0,2.75,pink
336,2016,70.0,3.0,pink
337,2016,75.0,3.0,pink
338,2016,70.0,3.25,purple
339,2008,77.0,2.0,pink
340,2008,77.0,2.5,pink
341,2008,77.0,2.75,pink
342,2008,55.0,3.0,pink
343,2008,55.0,3.25,purple
344,2008,55.0,3.5,purple
345,2014,70.0,3.5,purple
346,2014,70.0,3.75,purple
347,2015,72.0,3.5,purple
348,2015,72.0,3.25,purple
349,2015,72.0,3.5,purple
350,2012,72.0,3.0,pink
351,2012,80.0,2.75,dark purple
352,2016,65.0,3.0,pink
353,2016,65.0,3.25,purple
354,2016,65.0,3.25,purple
355,2016,65.0,3.5,purple
356,2016,65.0,3.5,purple
357,2016,72.0,4.0,purple
358,2015,72.0,3.5,purple
359,2015,70.0,3.75,purple
360,2015,72.0,3.5,purple
361,2014,72.0,3.5,purple
362,2014,76.0,3.5,purple
363,2014,70.0,2.75,pink
364,2013,70.0,3.0,pink
365,2013,73.0,3.5,purple
366,2013,70.0,2.5,pink
367,2013,70.0,3.25,purple
368,2013,72.0,3.25,purple
369,2013,70.0,2.75,pink
370,2013,72.0,3.0,pink
371,2014,70.0,2.5,pink
372,2014,70.0,2.75,pink
373,2014,70.0,2.75,pink
374,2014,70.0,3.0,pink
375,2009,72.0,2.75,pink
376,2014,70.0,2.75,pink
377,2016,70.0,3.25,purple
378,2010,55.0,2.75,pink
379,2008,75.0,3.0,pink
380,2014,70.0,3.5,purple
381,2011,70.0,3.5,purple
382,2015,70.0,3.25,purple
383,2014,75.0,3.0,pink
384,2014,82.0,3.25,dark purple
385,2015,70.0,2.75,pink
386,2015,70.0,3.5,purple
387,2015,65.0,2.5,pink
388,2015,65.0,2.75,pink
389,2015,80.0,2.5,dark purple
390,2011,70.0,3.75,purple
391,2011,68.0,3.75,purple
392,2016,90.0,2.5,dark purple
393,2016,80.0,2.5,dark purple
394,2016,70.0,2.5,pink
395,2016,70.0,2.75,pink
396,2016,60.0,3.0,pink
397,2016,75.0,3.0,pink
398,2016,80.0,3.0,dark purple
399,2016,70.0,3.25,purple
400,2016,80.0,2.75,dark purple
401,2014,74.0,2.75,pink
402,2015,75.0,3.25,purple
403,2015,68.0,3.5,purple
404,2015,80.0,3.75,purple
405,2015,69.0,3.75,purple
406,2015,80.0,3.75,purple
407,2013,70.0,3.75,purple
408,2012,82.0,2.5,dark purple
409,2012,68.0,2.75,pink
410,2012,72.0,3.25,purple
411,2014,70.0,2.5,pink
412,2015,77.0,3.0,pink
413,2011,65.0,3.25,purple
414,2010,71.0,3.25,purple
415,2010,71.0,3.5,purple
416,2009,60.0,3.25,purple
417,2009,75.0,3.25,purple
418,2008,71.0,3.5,purple
419,2007,71.0,2.5,pink
420,2007,71.0,2.5,pink
421,2007,70.0,3.0,pink
422,2015,65.0,2.5,pink
423,2015,75.0,2.5,pink
424,2009,80.0,2.5,dark purple
425,2009,70.0,2.75,pink
426,2009,70.0,3.0,pink
427,2009,80.0,3.0,dark purple
428,2009,70.0,3.0,pink
429,2013,42.0,2.75,pink
430,2016,75.0,3.25,purple
431,2011,68.0,3.75,purple
432,2009,61.0,3.0,pink
433,2010,77.0,2.75,pink
434,2010,73.5,3.75,purple
435,2008,80.0,3.0,dark purple
436,2008,75.0,4.0,purple
437,2008,100.0,1.0,dark purple
438,2015,73.0,3.5,purple
439,2015,75.0,3.0,pink
440,2010,70.0,3.25,purple
441,2008,80.0,2.75,dark purple
442,2008,72.0,3.25,purple
443,2008,70.0,3.75,purple
444,2008,88.0,2.75,dark purple
445,2015,76.0,3.5,purple
446,2016,78.0,2.75,dark purple
447,2013,65.0,3.25,purple
448,2012,85.0,3.5,dark purple
449,2012,100.0,1.5,dark purple
450,2012,72.0,3.75,purple
451,2012,70.0,3.5,purple
452,2010,72.0,3.25,purple
453,2010,70.0,3.0,pink
454,2010,72.0,2.5,pink
455,2010,72.0,3.0,pink
456,2010,72.0,3.25,purple
457,2010,72.0,3.25,purple
458,2009,72.0,3.0,pink
459,2009,62.0,3.25,purple
460,2009,70.0,3.5,purple
461,2009,70.0,3.75,purple
462,2008,72.0,3.0,pink
463,2008,72.0,3.0,pink
464,2007,72.0,3.0,pink
465,2006,70.0,1.0,pink
466,2014,70.0,2.5,pink
467,2014,83.0,2.75,dark purple
468,2012,75.0,3.25,purple
469,2012,65.0,3.25,purple
470,2012,67.0,3.25,purple
471,2012,64.0,3.25,purple
472,2012,75.0,3.5,purple
473,2016,85.0,3.25,dark purple
474,2016,73.0,3.75,purple
475,2015,70.0,2.75,pink
476,2011,70.0,3.25,purple
477,2017,72.0,2.75,pink
478,2015,70.0,3.0,pink
479,2015,70.0,3.5,purple
480,2015,70.0,2.25,pink
481,2015,70.0,2.75,pink
482,2016,70.0,3.75,purple
483,2015,70.0,3.0,pink
484,2014,70.0,3.5,purple
485,2014,70.0,3.5,purple
486,2014,70.0,2.75,pink
487,2014,70.0,3.75,purple
488,2013,70.0,2.75,pink
489,2013,70.0,3.25,purple
490,2013,70.0,3.5,purple
491,2013,70.0,3.5,purple
492,2012,70.0,3.0,pink
493,2012,70.0,3.25,purple
494,2012,70.0,3.75,purple
495,2011,70.0,3.25,purple
496,2011,70.0,3.25,purple
497,2011,70.0,3.25,purple
498,2014,82.0,3.25,dark purple
499,2012,75.0,3.0,pink
500,2012,70.0,3.75,purple
501,2012,70.0,3.75,purple
502,2012,70.0,4.0,purple
503,2012,70.0,3.25,purple
504,2011,60.0,3.5,purple
505,2009,75.0,3.0,pink
506,2009,60.0,3.25,purple
507,2016,72.0,2.75,pink
508,2016,72.0,3.0,pink
509,2016,70.0,3.25,purple
510,2016,75.0,3.25,purple
511,2015,70.0,3.0,pink
512,2015,70.0,3.25,purple
513,2015,70.0,3.0,pink
514,2015,70.0,3.25,purple
515,2013,70.0,2.5,pink
516,2013,70.0,2.75,pink
517,2013,70.0,2.75,pink
518,2012,58.0,3.25,purple
519,2015,72.0,3.5,purple
520,2015,65.0,3.5,purple
521,2016,70.0,2.5,pink
522,2016,70.0,3.0,pink
523,2007,66.0,2.5,pink
524,2007,64.0,3.0,pink
525,2007,71.0,3.0,pink
526,2007,60.0,3.0,pink
527,2007,64.0,3.0,pink
528,2007,64.0,3.0,pink
529,2009,64.0,3.0,pink
530,2008,66.0,3.75,purple
531,2016,72.0,2.5,pink
532,2008,80.0,2.75,dark purple
533,2007,77.0,3.5,purple
534,2007,77.0,3.5,purple
535,2017,70.0,3.75,purple
536,2016,78.0,3.5,purple
537,2015,70.0,3.75,purple
538,2014,74.0,3.5,purple
539,2013,70.0,3.25,purple
540,2013,76.0,3.5,purple
541,2012,75.0,2.75,pink
542,2012,72.0,2.75,pink
543,2011,80.0,2.75,dark purple
544,2011,72.0,3.0,pink
545,2011,75.0,2.75,pink
546,2011,74.0,3.0,pink
547,2011,70.0,3.25,purple
548,2015,85.0,3.0,dark purple
549,2014,72.0,3.25,purple
550,2014,72.0,3.25,purple
551,2014,72.0,3.5,purple
552,2009,70.0,3.75,purple
553,2008,88.0,3.0,dark purple
554,2006,70.0,1.5,pink
555,2015,70.0,3.75,purple
556,2015,70.0,3.75,purple
557,2013,100.0,3.0,dark purple
558,2012,70.0,3.5,purple
559,2012,70.0,3.75,purple
560,2011,70.0,3.5,purple
561,2010,70.0,3.0,pink
562,2008,70.0,3.0,pink
563,2008,70.0,3.0,pink
564,2008,78.0,3.5,purple
565,2008,70.0,3.75,purple
566,2007,70.0,4.0,purple
567,2007,75.0,3.25,purple
568,2007,60.0,3.25,purple
569,2007,70.0,3.5,purple
570,2007,70.0,3.5,purple
571,2007,70.0,3.75,purple
572,2007,70.0,4.0,purple
573,2007,70.0,4.0,purple
574,2006,70.0,3.0,pink
575,2006,70.0,3.25,purple
576,2006,70.0,3.5,purple
577,2016,75.0,2.75,pink
578,2015,70.0,2.5,pink
579,2015,80.0,2.75,dark purple
580,2015,77.0,2.75,pink
581,2015,70.0,4.0,purple
582,2014,70.0,3.5,purple
583,2014,76.0,3.75,purple
584,2012,72.0,3.75,purple
585,2011,72.0,3.75,purple
586,2011,65.0,3.5,purple
587,2011,72.0,3.0,pink
588,2011,71.0,3.25,purple
589,2011,71.0,3.5,purple
590,2010,70.0,3.5,purple
591,2010,72.0,3.75,purple
592,2010,70.0,2.5,pink
593,2010,70.0,3.75,purple
594,2015,70.0,3.25,purple
595,2012,82.0,2.75,dark purple
596,2015,70.0,3.5,purple
597,2015,70.0,3.5,purple
598,2015,70.0,3.25,purple
599,2015,70.0,3.25,purple
600,2015,70.0,4.0,purple
601,2014,70.0,3.25,purple
602,2014,70.0,3.5,purple
603,2014,70.0,3.75,purple
604,2016,70.0,3.25,purple
605,2016,70.0,3.25,purple
606,2012,72.0,2.75,pink
607,2016,68.0,3.0,pink
608,2011,75.0,3.75,purple
609,2008,71.0,2.75,pink
610,2015,70.0,3.75,purple
611,2009,60.5,2.75,pink
612,2009,70.0,3.0,pink
613,2008,74.0,2.5,pink
614,2008,58.0,2.5,pink
615,2008,61.0,3.0,pink
616,2006,70.0,2.75,pink
617,2013,60.0,2.75,pink
618,2013,70.0,3.25,purple
619,2015,79.0,3.0,dark purple
620,2015,78.0,3.5,purple
621,2016,75.0,3.25,purple
622,2010,80.0,3.25,dark purple
623,2014,70.0,3.25,purple
624,2014,80.0,3.0,dark purple
625,2014,74.0,3.25,purple
626,2012,70.0,2.75,pink
627,2009,65.0,2.0,pink
628,2009,81.0,3.5,dark purple
629,2009,74.0,2.75,pink
630,2008,72.0,3.0,pink
631,2011,55.0,2.5,pink
632,2011,55.0,2.5,pink
633,2011,70.0,2.5,pink
634,2011,62.0,2.75,pink
635,2011,62.0,2.5,pink
636,2014,80.0,3.0,dark purple
637,2014,80.0,3.5,purple
638,2014,80.0,3.75,purple
639,2010,75.0,2.75,pink
640,2016,76.0,3.0,pink
641,2016,76.0,2.5,pink
642,2016,76.0,2.75,pink
643,2010,58.0,3.5,purple
644,2006,62.0,2.0,pink
645,2006,74.0,3.0,pink
646,2006,64.0,3.0,pink
647,2006,65.0,3.0,pink
648,2006,72.0,3.5,purple
649,2006,68.0,4.0,purple
650,2014,65.0,2.25,pink
651,2014,80.0,3.0,dark purple
652,2014,70.0,3.25,purple
653,2014,85.0,2.5,dark purple
654,2014,72.0,2.75,pink
655,2016,70.0,2.75,pink
656,2016,80.0,2.75,dark purple
657,2016,70.0,2.75,pink
658,2016,75.0,3.5,purple
659,2016,67.0,3.75,purple
660,2014,70.0,3.5,purple
661,2014,70.0,3.75,purple
662,2012,70.0,3.75,purple
663,2012,60.0,3.5,purple
664,2015,70.0,3.5,purple
665,2015,75.0,3.5,purple
666,2015,80.0,3.0,dark purple
667,2014,60.0,3.5,purple
668,2014,65.0,3.5,purple
669,2017,70.0,3.5,purple
670,2015,73.0,3.5,purple
671,2014,80.0,3.0,dark purple
672,2014,68.0,3.25,purple
673,2013,66.0,3.5,purple
674,2012,70.0,2.5,pink
675,2012,61.0,3.5,purple
676,2012,81.0,2.0,dark purple
677,2011,70.0,3.5,purple
678,2011,65.0,3.5,purple
679,2014,70.0,3.0,pink
680,2014,70.0,3.5,purple
681,2014,70.0,3.5,purple
682,2014,70.0,3.5,purple
683,2013,72.0,3.25,purple
684,2013,72.0,3.75,purple
685,2013,70.0,3.75,purple
686,2013,70.0,4.0,purple
687,2012,69.0,3.5,purple
688,2012,69.0,3.5,purple
689,2012,74.0,4.0,purple
690,2012,69.0,4.0,purple
691,2012,69.0,3.0,pink
692,2011,74.0,2.75,pink
693,2011,70.0,3.25,purple
694,2011,72.0,3.5,purple
695,2011,70.0,3.5,purple
696,2011,74.0,2.75,pink
697,2011,72.0,3.25,purple
698,2011,74.0,3.0,pink
699,2011,76.0,3.25,purple
700,2011,70.0,4.0,purple
701,2009,80.0,2.75,dark purple
702,2009,70.0,3.0,pink
703,2009,70.0,3.25,purple
704,2009,65.0,3.5,purple
705,2016,70.0,3.5,purple
706,2015,60.0,3.0,pink
707,2015,85.0,3.25,dark purple
708,2014,70.0,3.5,purple
709,2013,70.0,3.25,purple
710,2013,70.0,3.5,purple
711,2012,70.0,3.25,purple
712,2012,70.0,3.25,purple
713,2012,70.0,3.25,purple
714,2012,70.0,3.75,purple
715,2011,70.0,3.25,purple
716,2011,70.0,3.5,purple
717,2011,70.0,3.5,purple
718,2016,74.0,3.75,purple
719,2016,74.0,4.0,purple
720,2014,70.0,3.75,purple
721,2014,76.0,3.0,pink
722,2013,70.0,3.75,purple
723,2013,75.0,3.0,pink
724,2012,70.0,2.5,pink
725,2011,66.0,3.25,purple
726,2011,70.0,3.0,pink
727,2014,85.0,2.5,dark purple
728,2015,65.0,3.25,purple
729,2015,70.0,4.0,purple
730,2015,70.0,3.5,purple
731,2015,80.0,3.5,purple
732,2015,75.0,3.5,purple
733,2016,70.0,3.5,purple
734,2015,66.0,3.0,pink
735,2016,77.0,2.75,pink
736,2016,77.0,3.25,purple
737,2016,77.0,3.25,purple
738,2011,72.0,3.0,pink
739,2006,70.0,2.5,pink
740,2016,70.0,3.5,purple
741,2010,82.0,3.25,dark purple
742,2009,60.0,2.75,pink
743,2008,71.0,2.5,pink
744,2009,64.0,3.0,pink
745,2009,64.0,3.0,pink
746,2009,64.0,3.0,pink
747,2009,76.0,3.0,pink
748,2009,64.0,3.25,purple
749,2015,70.0,3.75,purple
750,2013,65.0,2.75,pink
751,2013,65.0,2.75,pink
752,2013,65.0,3.25,purple
753,2013,65.0,3.5,purple
754,2011,72.0,2.75,pink
755,2011,61.0,3.25,purple
756,2011,72.0,3.25,purple
757,2010,65.0,3.0,pink
758,2009,55.0,3.0,pink
759,2009,91.0,3.0,dark purple
760,2009,70.0,3.5,purple
761,2008,65.0,3.0,pink
762,2008,64.0,3.0,pink
763,2008,65.0,3.5,purple
764,2007,72.0,3.5,purple
765,2006,65.0,3.0,pink
766,2006,65.0,2.5,pink
767,2006,65.0,3.5,purple
768,2006,65.0,3.5,purple
769,2006,61.0,3.5,purple
770,2006,61.0,3.0,pink
771,2014,80.0,2.75,dark purple
772,2014,74.0,2.75,pink
773,2014,75.0,3.25,purple
774,2014,70.0,3.5,purple
775,2014,65.0,2.75,pink
776,2014,70.0,3.0,pink
777,2014,80.0,3.0,dark purple
778,2014,66.0,3.25,purple
779,2014,100.0,2.0,dark purple
780,2007,77.0,2.5,pink
781,2014,55.0,2.75,pink
782,2014,70.0,3.0,pink
783,2011,70.0,3.0,pink
784,2016,85.0,3.25,dark purple
785,2015,67.0,3.0,pink
786,2015,77.0,3.5,purple
787,2015,74.0,3.5,purple
788,2016,64.0,2.75,pink
789,2016,70.0,3.25,purple
790,2016,74.0,3.5,purple
791,2014,67.0,3.5,purple
792,2014,67.0,3.0,pink
793,2014,67.0,3.75,purple
794,2014,67.0,3.75,purple
795,2016,72.0,3.5,purple
796,2016,70.0,3.5,purple
797,2016,77.0,3.5,purple
798,2016,68.0,3.75,purple
799,2016,72.0,4.0,purple
800,2015,57.0,2.75,pink
801,2015,74.0,3.5,purple
802,2015,70.0,2.75,pink
803,2015,74.0,3.0,pink
804,2015,70.0,3.0,pink
805,2015,73.0,3.25,purple
806,2015,70.0,3.25,purple
807,2016,70.0,2.75,pink
808,2016,72.0,2.75,pink
809,2016,75.0,3.25,purple
810,2016,66.0,3.5,purple
811,2009,80.0,2.0,dark purple
812,2009,80.0,2.5,dark purple
813,2009,72.0,3.0,pink
814,2009,58.0,3.25,purple
815,2009,58.0,3.5,purple
816,2016,70.0,2.75,pink
817,2015,70.0,3.5,purple
818,2015,70.0,3.5,purple
819,2015,70.0,3.5,purple
820,2015,70.0,3.5,purple
821,2009,70.0,2.5,pink
822,2009,70.0,2.75,pink
823,2009,70.0,3.5,purple
824,2009,75.0,3.75,purple
825,2014,72.0,2.5,pink
826,2015,70.0,2.75,pink
827,2013,70.0,4.0,purple
828,2013,100.0,1.75,dark purple
829,2013,75.0,3.0,pink
830,2013,80.0,3.5,purple
831,2013,90.0,3.0,dark purple
832,2013,72.0,3.0,pink
833,2013,82.0,3.5,dark purple
834,2013,100.0,2.75,dark purple
835,2013,100.0,2.5,dark purple
836,2013,100.0,2.75,dark purple
837,2012,66.0,3.5,purple
838,2011,80.0,3.0,dark purple
839,2011,65.0,3.0,pink
840,2011,65.0,3.25,purple
841,2010,70.0,2.75,pink
842,2010,70.0,3.0,pink
843,2010,70.0,2.75,pink
844,2008,72.0,3.0,pink
845,2008,80.0,2.5,dark purple
846,2008,75.0,2.75,pink
847,2008,72.0,3.0,pink
848,2015,70.0,3.5,purple
849,2014,70.0,3.0,pink
850,2014,70.0,3.0,pink
851,2014,70.0,3.0,pink
852,2014,70.0,3.75,purple
853,2014,70.0,3.5,purple
854,2013,70.0,3.25,purple
855,2013,70.0,3.75,purple
856,2013,72.0,3.75,purple
857,2011,72.0,3.75,purple
858,2011,72.0,3.75,purple
859,2011,72.0,3.25,purple
860,2011,72.0,3.75,purple
