Company,Chocolate_origin,Review_number,Review_year,Cocoa_percent,Company_location,Rating,Bean_type,Bean_origin,Cocoa_category,Rating_category
Amedei,Nine,111,2007,75.0,Italy,4.0,4,Unkown,Moderate Blend,Excellent
Amedei,Chuao,111,2007,70.0,Italy,5.0,2,Venezuela,Moderate Blend,Excellent
Amedei,Ecuador,123,2007,70.0,Italy,3.0,2,Ecuador,Moderate Blend,Fair
Amedei,Jamaica,123,2007,70.0,Italy,3.0,2,Jamaica,Moderate Blend,Fair
Amedei,Grenada,123,2007,70.0,Italy,3.5,2,Grenada,Moderate Blend,Fair
Amedei,Venezuela,123,2007,70.0,Italy,3.75,4,Venezuela,Moderate Blend,Fair
Amedei,Madagascar,123,2007,70.0,Italy,4.0,4,Madagascar,Moderate Blend,Excellent
Amedei,Trinidad,129,2007,70.0,Italy,3.5,2,Trinidad,Moderate Blend,Fair
Amedei,Toscano Black,170,2007,63.0,Italy,3.5,4,Unkown,Mild Mocha,Fair
Amedei,Toscano Black,40,2006,70.0,Italy,5.0,4,Unkown,Moderate Blend,Excellent
Amedei,Toscano Black,75,2006,66.0,Italy,4.0,4,Unkown,Mild Mocha,Excellent
AMMA,Catongo,1065,2013,75.0,Brazil,3.25,3,Brazil,Moderate Blend,Fair
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,3,Brazil,Deep Dark,Fair
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,3,Brazil,Mild Mocha,Fair
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,3,Brazil,Moderate Blend,Fair
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,3,Brazil,Mild Mocha,Excellent
Anahata,Elvesia,1259,2014,75.0,USA,3.0,6,Dominican Republic,Moderate Blend,Fair
Animas,Alto Beni,1852,2016,75.0,USA,3.5,6,Bolivia,Moderate Blend,Fair
Ara,Madagascar,1375,2014,75.0,France,3.0,2,Madagascar,Moderate Blend,Fair
Ara,Chiapas,1379,2014,72.0,France,2.5,6,Mexico,Moderate Blend,Fair
Ara,Equateur,1379,2014,75.0,France,2.75,6,Ecuador,Moderate Blend,Fair
Ara,Trincheras,1379,2014,75.0,France,3.0,6,Venezuela,Moderate Blend,Fair
Arete,San Juan,1724,2016,70.0,USA,3.5,2,Trinidad,Moderate Blend,Fair
Arete,Kokoa Kamili,1724,2016,70.0,USA,3.75,6,Tanzania,Moderate Blend,Fair
Arete,Tien Giang,1900,2016,73.0,USA,3.5,2,Vietnam,Moderate Blend,Fair
Arete,Hacienda Victoria,1904,2016,70.0,USA,3.25,6,Ecuador,Moderate Blend,Fair
Arete,Costa Esmeraldas,1904,2016,70.0,USA,3.25,6,Ecuador,Moderate Blend,Fair
Arete,Lachua,1904,2016,70.0,USA,3.5,6,Guatemala,Moderate Blend,Fair
Arete,Rugoso,1904,2016,70.0,USA,3.75,6,Nicaragua,Moderate Blend,Fair
Arete,"La Masica, FHIA",1908,2016,70.0,USA,3.5,6,Honduras,Moderate Blend,Fair
Arete,"Coto Brus, Terciopelo",1908,2016,70.0,USA,4.0,6,Costa Rica,Moderate Blend,Excellent
Arete,Phantom,1924,2016,70.0,USA,4.0,3,Peru,Moderate Blend,Excellent
Arete,Elvesia,1928,2016,70.0,USA,3.75,6,Dominican Republic,Moderate Blend,Fair
Arete,Matasawalevu,1928,2016,70.0,USA,3.25,6,Fiji,Moderate Blend,Fair
Arete,Lam Dong,1928,2016,73.0,USA,3.25,6,Vietnam,Moderate Blend,Fair
Arete,Fazenda Camboa,1534,2015,70.0,USA,3.5,6,Brazil,Moderate Blend,Fair
Arete,Nacional,1534,2015,68.0,USA,3.5,3,Peru,Mild Mocha,Fair
Arete,"Puerto Quito, heirloom",1534,2015,70.0,USA,3.75,3,Ecuador,Moderate Blend,Fair
Arete,Oko Caribe,1598,2015,70.0,USA,3.5,6,Dominican Republic,Moderate Blend,Fair
Arete,Maya Mountain,1598,2015,70.0,USA,3.75,2,Belize,Moderate Blend,Fair
Arete,Chuno,1598,2015,70.0,USA,4.0,4,Nicaragua,Moderate Blend,Excellent
Arete,Fazenda Camboa,1602,2015,75.0,USA,2.75,6,Brazil,Moderate Blend,Fair
Arete,Guatemala,1602,2015,70.0,USA,3.25,6,Guatemala,Moderate Blend,Fair
Arete,Camino Verde,1602,2015,75.0,USA,3.5,6,Ecuador,Moderate Blend,Fair
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,2,Trinidad,Moderate Blend,Fair
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,6,Colombia,Moderate Blend,Fair
Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,6,Haiti,Moderate Blend,Excellent
Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,6,Panama,Moderate Blend,Fair
Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,6,Venezuela,Deep Dark,Poor
Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,2,Jamaica,Moderate Blend,Fair
Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,6,Costa Rica,Moderate Blend,Fair
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,2,Vietnam,Moderate Blend,Fair
Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,6,Indonesia,Moderate Blend,Fair
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,4,Venezuela,Moderate Blend,Fair
Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,2,Indonesia,Moderate Blend,Fair
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,6,Brazil,Moderate Blend,Poor
Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,4,Madagascar,Moderate Blend,Fair
Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,1,Peru,Moderate Blend,Fair
Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,2,Dominican Republic,Moderate Blend,Fair
Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,3,Congo,Moderate Blend,Fair
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,2,Colombia,Moderate Blend,Fair
Askinosie,Mababa,1780,2016,68.0,USA,3.75,2,Tanzania,Mild Mocha,Fair
Askinosie,"Tenende, Uwate",647,2011,72.0,USA,3.75,2,Tanzania,Moderate Blend,Fair
Askinosie,Cortes,661,2011,70.0,USA,3.75,2,Honduras,Moderate Blend,Fair
Askinosie,Davao,331,2009,77.0,USA,3.75,2,Philippines,Moderate Blend,Fair
Askinosie,Xoconusco,141,2007,75.0,USA,2.5,2,Mexico,Moderate Blend,Fair
Askinosie,San Jose del Tambo,175,2007,70.0,USA,3.0,3,Ecuador,Moderate Blend,Fair
Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,6,Unkown,Moderate Blend,Fair
Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,6,Papua New Guinea,Moderate Blend,Fair
Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,2,Madagascar,Moderate Blend,Fair
Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,6,Brazil,Moderate Blend,Fair
Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,4,Unkown,Moderate Blend,Fair
Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,6,Peru,Moderate Blend,Fair
Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,6,Peru,Moderate Blend,Fair
Bar Au Chocolat,Bahia,1554,2015,70.0,USA,3.5,6,Brazil,Moderate Blend,Fair
Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,USA,4.0,3,Peru,Moderate Blend,Excellent
Bar Au Chocolat,Duarte Province,983,2012,70.0,USA,3.25,6,Dominican Republic,Moderate Blend,Fair
Bar Au Chocolat,Chiapas,983,2012,70.0,USA,3.5,6,Mexico,Moderate Blend,Fair
Bar Au Chocolat,Sambirano,983,2012,70.0,USA,3.75,2,Madagascar,Moderate Blend,Fair
Baravelli's,single estate,955,2012,80.0,Wales,2.75,6,Costa Rica,Moderate Blend,Fair
Batch,"Dominican Republic, Batch 3",1840,2016,65.0,USA,3.5,6,Dominican Republic,Mild Mocha,Fair
Batch,Brazil,1868,2016,70.0,USA,3.75,6,Brazil,Moderate Blend,Fair
Batch,Ecuador,1880,2016,65.0,USA,3.25,6,Ecuador,Mild Mocha,Fair
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,6,Malaysia,Moderate Blend,Fair
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,6,Malaysia,Moderate Blend,Fair
Beehive,"Brazil, Batch 20316",1784,2016,80.0,USA,2.75,6,Brazil,Moderate Blend,Fair
Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,USA,2.75,6,Dominican Republic,Moderate Blend,Fair
Beehive,"Ecuador, Batch 31516",1784,2016,70.0,USA,2.75,6,Ecuador,Moderate Blend,Fair
Beehive,Ecuador,1788,2016,90.0,USA,2.75,6,Ecuador,Deep Dark,Fair
Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,6,Costa Rica,Mild Mocha,Fair
Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,6,Papua New Guinea,Mild Mocha,Fair
Belcolade,Peru,586,2010,64.0,Belgium,2.75,6,Peru,Mild Mocha,Fair
Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,6,Ecuador,Moderate Blend,Fair
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,USA,3.5,4,Tanzania,Moderate Blend,Fair
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,USA,3.25,6,Bolivia,Moderate Blend,Fair
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,USA,3.5,6,Dominican Republic,Moderate Blend,Fair
Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,2,Belize,Deep Dark,Fair
Belyzium,Belize south,1768,2016,78.0,Germany,3.0,2,Belize,Moderate Blend,Fair
Belyzium,Belize south,1768,2016,83.0,Germany,3.5,2,Belize,Deep Dark,Fair
Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,2,Cuba,Moderate Blend,Fair
Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,1,Venezuela,Moderate Blend,Fair
Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,1,Venezuela,Moderate Blend,Fair
Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,2,Ecuador,Moderate Blend,Excellent
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,2,Indonesia,Moderate Blend,Excellent
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,2,Madagascar,Moderate Blend,Fair
Bernachon,Nature,797,2012,55.0,France,2.75,6,Unkown,Mild Mocha,Fair
Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,2,Madagascar,Mild Mocha,Fair
Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,1,Venezuela,Deep Dark,Fair
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,6,Venezuela,Moderate Blend,Fair
Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,6,Ecuador,Moderate Blend,Excellent
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,2,Venezuela,Moderate Blend,Fair
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,1,Venezuela,Moderate Blend,Fair
Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,6,Indonesia,Mild Mocha,Fair
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,6,Venezuela,Moderate Blend,Fair
Bisou,"Nicaragua, American style",1482,2015,76.0,USA,2.5,6,Nicaragua,Moderate Blend,Fair
Bisou,"San Andres, American style",1486,2015,76.0,USA,2.5,6,Costa Rica,Moderate Blend,Fair
Bisou,"San Andres, silk",1486,2015,78.0,USA,2.5,6,Costa Rica,Moderate Blend,Fair
Bisou,Belize,1486,2015,86.0,USA,3.25,2,Belize,Deep Dark,Fair
Bittersweet Origins,Ghana,963,2012,72.0,USA,3.5,3,Ghana,Moderate Blend,Fair
Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,USA,3.25,6,Indonesia,Moderate Blend,Fair
Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,USA,3.75,4,"Dominican Rep., Bali",Moderate Blend,Fair
Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,USA,2.75,6,Indonesia,Mild Mocha,Fair
Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,USA,3.0,2,Madagascar,Moderate Blend,Fair
Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,USA,3.0,1,Venezuela,Moderate Blend,Fair
Bittersweet Origins,Puerto Plata,414,2009,75.0,USA,3.0,6,Dominican Republic,Moderate Blend,Fair
Bittersweet Origins,Puerto Plata,414,2009,65.0,USA,3.5,6,Dominican Republic,Mild Mocha,Fair
Bittersweet Origins,Sambirano,423,2009,75.0,USA,3.25,2,Madagascar,Moderate Blend,Fair
Bittersweet Origins,Sambirano,431,2009,65.0,USA,3.5,2,Madagascar,Mild Mocha,Fair
Bittersweet Origins,Sambirano,233,2008,71.0,USA,3.0,2,Madagascar,Moderate Blend,Fair
Bittersweet Origins,Bocas del Toro,233,2008,75.0,USA,3.5,6,Panama,Moderate Blend,Fair
Bittersweet Origins,Puerto Plata,233,2008,68.0,USA,3.75,6,Dominican Republic,Mild Mocha,Fair
Bittersweet Origins,Ankasa,256,2008,70.0,USA,3.0,3,Ghana,Moderate Blend,Fair
Black Mountain,La Red,256,2008,70.0,USA,2.75,6,Dominican Republic,Moderate Blend,Fair
Black Mountain,Carenero Superior,256,2008,70.0,USA,2.75,2,Venezuela,Moderate Blend,Fair
Black Mountain,Matiguas,256,2008,70.0,USA,3.0,6,Nicaragua,Moderate Blend,Fair
Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,2,Jamaica,Moderate Blend,Fair
Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,3,Congo,Deep Dark,Fair
Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,6,Unkown,Moderate Blend,Fair
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,USA,3.5,2,Madagascar,Deep Dark,Fair
Blue Bandana,Lachua,1752,2016,75.0,USA,2.75,6,Guatemala,Moderate Blend,Fair
Blue Bandana,Kokoa Kamili,1752,2016,75.0,USA,3.5,6,Tanzania,Moderate Blend,Fair
Blue Bandana,Zorzal Reserva,1756,2016,75.0,USA,3.0,6,Dominican Republic,Moderate Blend,Fair
Blue Bandana,Guatemala,911,2012,70.0,USA,3.5,6,Guatemala,Moderate Blend,Fair
Blue Bandana,Madagascar,911,2012,70.0,USA,3.75,2,Madagascar,Moderate Blend,Fair
Bonnat,Selva Maya,1912,2016,75.0,France,3.5,6,Mexico,Moderate Blend,Fair
Bonnat,Kaori,1339,2014,75.0,France,4.0,6,Brazil,Moderate Blend,Excellent
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,6,Dominican Republic,Moderate Blend,Fair
Bonnat,Surfin,1418,2014,65.0,France,3.75,6,"Venez,Africa,Brasil,Peru,Mex",Mild Mocha,Fair
Bonnat,Maragnam,1038,2013,75.0,France,3.5,6,Brazil,Moderate Blend,Fair
Bonnat,Gabon,1042,2013,75.0,France,3.25,6,Gabon,Moderate Blend,Fair
Bonnat,Cuba,629,2011,75.0,France,3.5,2,Cuba,Moderate Blend,Fair
Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,6,Peru,Moderate Blend,Fair
Bonnat,Piura Blanco,629,2011,75.0,France,3.5,3,Peru,Moderate Blend,Fair
Bonnat,Libanio,629,2011,75.0,France,3.75,6,Brazil,Moderate Blend,Fair
Bonnat,Haiti,629,2011,75.0,France,4.0,6,Haiti,Moderate Blend,Excellent
Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,1,Madagascar,Moderate Blend,Excellent
Bonnat,Juliana,672,2011,75.0,France,3.5,6,Brazil,Moderate Blend,Fair
Bonnat,Jamaique,761,2011,75.0,France,3.25,2,Jamaica,Moderate Blend,Fair
Bonnat,Ivory Coast,331,2009,75.0,France,3.0,6,Ivory Coast,Moderate Blend,Fair
Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,1,Peru,Moderate Blend,Fair
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,1,Mexico,Moderate Blend,Fair
Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,1,Mexico,Moderate Blend,Fair
Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,1,Venezuela,Moderate Blend,Excellent
Bonnat,Equateur,123,2007,75.0,France,2.5,3,Ecuador,Moderate Blend,Fair
Bonnat,Trinite,24,2006,75.0,France,3.75,2,Carribean,Moderate Blend,Fair
Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,6,Venezuela,Moderate Blend,Excellent
Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,1,Venezuela,Moderate Blend,Excellent
Bonnat,Madagascar,75,2006,75.0,France,4.0,2,Madagascar,Moderate Blend,Excellent
Bonnat,One Hundred,81,2006,100.0,France,1.5,6,Unkown,Deep Dark,Poor
Bonnat,Ceylan,81,2006,75.0,France,3.0,6,Sri Lanka,Moderate Blend,Fair
Bonnat,Chuao,81,2006,75.0,France,4.0,2,Venezuela,Moderate Blend,Excellent
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,3,Ecuador,Moderate Blend,Fair
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,3,Ecuador,Deep Dark,Poor
Bowler Man,Maya Mountain,1267,2014,70.0,USA,2.75,2,Belize,Moderate Blend,Fair
Bowler Man,Conacado,1271,2014,70.0,USA,2.75,6,Dominican Republic,Moderate Blend,Fair
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,USA,3.5,1,Venezuela,Moderate Blend,Fair
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,USA,3.75,6,Nicaragua,Moderate Blend,Fair
Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,USA,3.75,6,Dominican Republic,Mild Mocha,Fair
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,USA,3.75,2,Belize,Moderate Blend,Fair
Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,USA,4.0,2,Venezuela,Moderate Blend,Excellent
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,USA,3.0,2,Dominican Republic,Moderate Blend,Fair
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,USA,3.25,6,Ecuador,Moderate Blend,Fair
Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,USA,3.5,3,Ghana,Moderate Blend,Fair
